"GEO_ID","NAME","B19113_001E","B19113_001M","B19113_001MA","B19113_001EA",
"0500000US13009","Baldwin County, Georgia","63136","6776","null","null",
"0500000US13011","Banks County, Georgia","58969","5897","null","null",
"0500000US13013","Barrow County, Georgia","71965","2768","null","null",
"0500000US13015","Bartow County, Georgia","70686","3206","null","null",
"0500000US13017","Ben Hill County, Georgia","37293","8823","null","null",
"0500000US13019","Berrien County, Georgia","52882","3791","null","null",
"0500000US13021","Bibb County, Georgia","56802","2255","null","null",
"0500000US13023","Bleckley County, Georgia","50509","3083","null","null",
"0500000US13025","Brantley County, Georgia","51919","5257","null","null",
"0500000US13027","Brooks County, Georgia","53731","13342","null","null",
"0500000US13029","Bryan County, Georgia","88724","5370","null","null",
"0500000US13031","Bulloch County, Georgia","64248","4051","null","null",
"0500000US13033","Burke County, Georgia","54819","11359","null","null",
"0500000US13035","Butts County, Georgia","61188","6586","null","null",
"0500000US13037","Calhoun County, Georgia","49531","10765","null","null",
"0500000US13039","Camden County, Georgia","68288","5419","null","null",
"0500000US13043","Candler County, Georgia","44683","7354","null","null",
"0500000US13045","Carroll County, Georgia","69844","3481","null","null",
"0500000US13047","Catoosa County, Georgia","70909","2600","null","null",
"0500000US13049","Charlton County, Georgia","50442","6185","null","null",
"0500000US13051","Chatham County, Georgia","71822","2925","null","null",
"0500000US13053","Chattahoochee County, Georgia","47321","6620","null","null",
"0500000US13055","Chattooga County, Georgia","47639","3564","null","null",
"0500000US13057","Cherokee County, Georgia","97543","2827","null","null",
"0500000US13059","Clarke County, Georgia","61621","3364","null","null",
"0500000US13061","Clay County, Georgia","42629","17271","null","null",
"0500000US13063","Clayton County, Georgia","54214","1685","null","null",
"0500000US13065","Clinch County, Georgia","50673","9015","null","null",
"0500000US13067","Cobb County, Georgia","99099","1666","null","null",
"0500000US13069","Coffee County, Georgia","51421","2877","null","null",
"0500000US13071","Colquitt County, Georgia","48116","5984","null","null",
"0500000US13073","Columbia County, Georgia","92678","3285","null","null",
"0500000US13075","Cook County, Georgia","48387","1774","null","null",
"0500000US13077","Coweta County, Georgia","93771","2912","null","null",
"0500000US13079","Crawford County, Georgia","59331","11623","null","null",
"0500000US13081","Crisp County, Georgia","44529","5491","null","null",
"0500000US13083","Dade County, Georgia","56322","5630","null","null",
"0500000US13085","Dawson County, Georgia","86206","8046","null","null",
"0500000US13087","Decatur County, Georgia","50658","8609","null","null",
"0500000US13089","DeKalb County, Georgia","82234","1676","null","null",
"0500000US13091","Dodge County, Georgia","52280","8688","null","null",
"0500000US13093","Dooly County, Georgia","63509","15207","null","null",
"0500000US13095","Dougherty County, Georgia","49623","2686","null","null",
"0500000US13097","Douglas County, Georgia","76362","1843","null","null",
"0500000US13099","Early County, Georgia","39141","3913","null","null",
"0500000US13101","Echols County, Georgia","55540","7248","null","null",
"0500000US13103","Effingham County, Georgia","81320","4660","null","null",
"0500000US13105","Elbert County, Georgia","47414","8660","null","null",
"0500000US13107","Emanuel County, Georgia","44810","3722","null","null",
"0500000US13109","Evans County, Georgia","52266","3744","null","null",
"0500000US13111","Fannin County, Georgia","54526","5724","null","null",
"0500000US13113","Fayette County, Georgia","109267","3885","null","null",
"0500000US13115","Floyd County, Georgia","61841","4294","null","null",
"0500000US13117","Forsyth County, Georgia","125609","2291","null","null",
"0500000US13119","Franklin County, Georgia","57403","5114","null","null",
"0500000US13121","Fulton County, Georgia","99490","2518","null","null",
"0500000US13123","Gilmer County, Georgia","65839","4043","null","null",
